model,maximum_sequence_length,epoch,training_loss,validation_loss
AraT5 model 1,128,1,,1.173911
AraT5 model 1,128,4,1.764000,0.758341
AraT5 model 1,128,6,1.764000,0.696381
AraT5 model 1,128,7,0.841000,0.678992
AraT5 model 1,128,10,0.743400,0.645978
AraT5 model 1,128,22,0.643200,0.598049
AraT5 model 1,128,30,0.613800,0.593992
AraT5 model 2,256,1,1.464700,0.857430
AraT5 model 2,256,2,0.443800,0.700867
AraT5 model 2,256,3,0.388300,0.645725
AraT5 model 2,256,6,0.319800,0.594994
AraT5 model 2,256,8,0.313200,0.590462
AraT5 model 2,256,10,0.310500,0.590462
AraT5 model 2,256,13,0.310700,0.590462
